file,type,from,suggested
access_control.php,"PHP die/exit","Access Denied","die(__('Access Denied'));"
add_announcement.php,"HTML text","Add Announcement","><?= __('Add Announcement') ?><"
add_announcement.php,"HTML text","Create company notice with optional attachment.","><?= __('Create company notice with optional attachment.') ?><"
add_announcement.php,"HTML text",Back,"><?= __('Back') ?><"
add_announcement.php,"HTML text","Announcement Details","><?= __('Announcement Details') ?><"
add_announcement.php,"HTML text",Title,"><?= __('Title') ?> <"
add_announcement.php,"HTML text",Content,"><?= __('Content') ?> <"
add_announcement.php,"HTML text",Attachment,"><?= __('Attachment') ?><"
add_announcement.php,"HTML text","Optional. Max 10MB. Allowed: PDF, image, Word, Excel, PowerPoint, TXT, ZIP, RAR.","><?= __('Optional. Max 10MB. Allowed: PDF, image, Word, Excel, PowerPoint, TXT, ZIP, RAR.') ?><"
add_announcement.php,"HTML text","Start Date","><?= __('Start Date') ?><"
add_announcement.php,"HTML text","End Date","><?= __('End Date') ?><"
add_announcement.php,"HTML text","Save Announcement","><?= __('Save Announcement') ?><"
add_announcement.php,"HTML text",Cancel,"><?= __('Cancel') ?><"
add_article.php,"HTML text","Add Article","><?= __('Add Article') ?><"
add_article.php,"HTML text","Create organized knowledge article with type, tags and branch scope","><?= __('Create organized knowledge article with type, tags and branch scope') ?><"
add_article.php,"HTML text",Back,"> <?= __('Back') ?><"
add_article.php,"HTML text","Article Content","><?= __('Article Content') ?><"
add_article.php,"HTML text",Title,"><?= __('Title') ?> <"
add_article.php,"HTML text",Category,"><?= __('Category') ?> <"
add_article.php,"HTML text","Knowledge Type","><?= __('Knowledge Type') ?><"
add_article.php,"HTML text",Tags,"><?= __('Tags') ?><"
add_article.php,"HTML text","Separate tags by comma. Example: POS, sync, price update","><?= __('Separate tags by comma. Example: POS, sync, price update') ?><"
add_article.php,"HTML text",Content,"><?= __('Content') ?> <"
add_article.php,"HTML text",characters,"> <?= __('characters') ?><"
add_article.php,"HTML text",Attachments,"><?= __('Attachments') ?><"
add_article.php,"HTML text","PDF, image, Word, Excel, PowerPoint, TXT, CSV, ZIP. Max 10MB each.","><?= __('PDF, image, Word, Excel, PowerPoint, TXT, CSV, ZIP. Max 10MB each.') ?><"
add_article.php,"HTML text","Quick Template","><?= __('Quick Template') ?><"
add_article.php,"HTML text","SOP Template","><?= __('SOP Template') ?><"
add_article.php,"HTML text","FAQ Template","><?= __('FAQ Template') ?><"
add_article.php,"HTML text","Troubleshooting Template","><?= __('Troubleshooting Template') ?><"
add_article.php,"HTML text","Branch Scope","><?= __('Branch Scope') ?><"
add_article.php,"HTML text","All Branch","><?= __('All Branch') ?><"
add_article.php,"HTML text","Selected Branch Only","><?= __('Selected Branch Only') ?><"
add_article.php,"HTML text",Status,"><?= __('Status') ?><"
add_article.php,"HTML text",Published,"><?= __('Published') ?><"
add_article.php,"HTML text",Draft,"><?= __('Draft') ?><"
add_article.php,"HTML text","Draft articles are for admin review.","><?= __('Draft articles are for admin review.') ?><"
add_article.php,"HTML text",Cancel,"><?= __('Cancel') ?><"
add_article.php,"HTML text",", faq:","><?= __(', faq:') ?><"
add_article.php,"HTML text",", troubleshoot:","><?= __(', troubleshoot:') ?><"
add_article.php,placeholder,"POS, printer, barcode, sync","placeholder=""<?= __('POS, printer, barcode, sync') ?>"""
add_article.php,placeholder,"Purpose: Scope: Step-by-step Procedure: 1. 2. 3. Important Notes: -","placeholder=""<?= __('Purpose: Scope: Step-by-step Procedure: 1. 2. 3. Important Notes: -') ?>"""
add_asset.php,"HTML text","Add Asset","><?= __('Add Asset') ?><"
add_asset.php,"HTML text","Asset Code","><?= __('Asset Code') ?> <"
add_asset.php,"HTML text","Asset Name","><?= __('Asset Name') ?> <"
add_asset.php,"HTML text","Serial No","><?= __('Serial No') ?><"
add_asset.php,"HTML text",Branch,"><?= __('Branch') ?><"
add_asset.php,"HTML text","-- Select Branch --","><?= __('-- Select Branch --') ?><"
add_asset.php,"HTML text",Location,"><?= __('Location') ?><"
add_asset.php,"HTML text",Status,"><?= __('Status') ?><"
add_asset.php,"HTML text","Purchase Date","><?= __('Purchase Date') ?><"
add_asset.php,"HTML text",Cancel,"><?= __('Cancel') ?><"
add_asset.php,placeholder,"POS Counter 1","placeholder=""<?= __('POS Counter 1') ?>"""
add_asset.php,placeholder,"Serial number","placeholder=""<?= __('Serial number') ?>"""
add_asset.php,placeholder,"Counter 1 / Office / Server Rack","placeholder=""<?= __('Counter 1 / Office / Server Rack') ?>"""
add_asset.php,alt,"Photo Preview","alt=""<?= __('Photo Preview') ?>"""
add_asset.php,"PHP die/exit","Photo upload failed.","die(__('Photo upload failed.'));"
add_asset.php,"PHP die/exit","Photo is too large. Maximum 5MB allowed.","die(__('Photo is too large. Maximum 5MB allowed.'));"
add_asset.php,"PHP die/exit","Invalid photo type. Only JPG, PNG, GIF and WEBP are allowed.","die(__('Invalid photo type. Only JPG, PNG, GIF and WEBP are allowed.'));"
add_asset.php,"PHP die/exit","Invalid photo file.","die(__('Invalid photo file.'));"
add_asset.php,"PHP die/exit","Unable to save uploaded photo.","die(__('Unable to save uploaded photo.'));"
add_asset.php,"PHP die/exit","Asset Code and Asset Name are required.","die(__('Asset Code and Asset Name are required.'));"
add_asset.php,"PHP die/exit","Invalid status.","die(__('Invalid status.'));"
add_asset.php,"PHP die/exit","Unable to save asset. Asset code may already exist.","die(__('Unable to save asset. Asset code may already exist.'));"
add_user.php,"HTML text","Add User","><?= __('Add User') ?><"
add_user.php,"HTML text","Create Admin / Head / Staff user with checkbox ticket visibility.","><?= __('Create Admin / Head / Staff user with checkbox ticket visibility.') ?><"
add_user.php,"HTML text",Back,"> <?= __('Back') ?><"
add_user.php,"HTML text","1. Basic User Info","><?= __('1. Basic User Info') ?><"
add_user.php,"HTML text","Login information.","><?= __('Login information.') ?><"
add_user.php,"HTML text","Full Name","><?= __('Full Name') ?><"
add_user.php,"HTML text",Username,"><?= __('Username') ?><"
add_user.php,"HTML text",Password,"><?= __('Password') ?><"
add_user.php,"HTML text","2. Role & Primary Branch","><?= __('2. Role & Primary Branch') ?><"
add_user.php,"HTML text","Only Admin, Head and Staff are supported.","><?= __('Only Admin, Head and Staff are supported.') ?><"
add_user.php,"HTML text",Role,"><?= __('Role') ?><"
add_user.php,"HTML text",Admin,"><?= __('Admin') ?><"
add_user.php,"HTML text",Head,"><?= __('Head') ?><"
add_user.php,"HTML text",Staff,"><?= __('Staff') ?><"
add_user.php,"HTML text","Primary Branch","><?= __('Primary Branch') ?><"
add_user.php,"HTML text","-- Select Branch --","><?= __('-- Select Branch --') ?><"
add_user.php,"HTML text","Profile PIC / Department","><?= __('Profile PIC / Department') ?><"
add_user.php,"HTML text","3. Ticket Visibility Permission","><?= __('3. Ticket Visibility Permission') ?><"
add_user.php,"HTML text","Final rule:","><?= __('Final rule:') ?><"
add_user.php,"HTML text","Admin sees all. Head sees checked Branch + checked PIC. Staff sees own Primary Branch + checked User Own PIC only.","> <?= __('Admin sees all. Head sees checked Branch + checked PIC. Staff sees own Primary Branch + checked User Own PIC only.') ?><"
add_user.php,"HTML text","Branch Access for Head","><?= __('Branch Access for Head') ?><"
add_user.php,"HTML text","Select All Branch","><?= __('Select All Branch') ?><"
add_user.php,"HTML text","Clear Branch","><?= __('Clear Branch') ?><"
