file,line,severity,type,text,exists_in_lang,suggestion,code
access_control.php,269,High,"PHP die/exit","Access Denied",no,"die(__('Access Denied'));","function require_admin(){ if(normalize_role($_SESSION['role'] ?? '') !== 'admin'){ http_response_code(403); die('Access Denied'); } }"
add_announcement.php,168,Medium,"HTML text","Add Announcement",yes,"<?= __('Add Announcement') ?>","<h2 class=""add-ann-title""><i class=""bi bi-plus-circle text-primary me-2""></i>Add Announcement</h2>"
add_announcement.php,169,Medium,"HTML text","Create company notice with optional attachment.",yes,"<?= __('Create company notice with optional attachment.') ?>","<div class=""add-ann-sub"">Create company notice with optional attachment.</div>"
add_announcement.php,171,High,"HTML text",Back,yes,"<?= __('Back') ?>","<a href=""announcements.php"" class=""btn btn-outline-secondary px-4""><i class=""bi bi-arrow-left me-2""></i>Back</a>"
add_announcement.php,182,Medium,"HTML text","Announcement Details",yes,"<?= __('Announcement Details') ?>","<div class=""fw-bold fs-5"">Announcement Details</div>"
add_announcement.php,183,Medium,"HTML text","Users need to open the announcement details page; it will auto mark as read.",yes,"<?= __('Users need to open the announcement details page; it will auto mark as read.') ?>","<div class=""text-muted small"">Users need to open the announcement details page; it will auto mark as read.</div>"
add_announcement.php,189,Medium,"HTML text",Title,yes,"<?= __('Title') ?>","<label class=""form-label"">Title <span class=""text-danger"">*</span></label>"
add_announcement.php,194,Medium,"HTML text",Content,yes,"<?= __('Content') ?>","<label class=""form-label"">Content <span class=""text-danger"">*</span></label>"
add_announcement.php,199,Medium,"HTML text",Attachment,yes,"<?= __('Attachment') ?>","<label class=""form-label"">Attachment</label>"
add_announcement.php,202,Medium,"HTML text","Optional. Max 10MB. Allowed: PDF, image, Word, Excel, PowerPoint, TXT, ZIP, RAR.",no,"<?= __('Optional. Max 10MB. Allowed: PDF, image, Word, Excel, PowerPoint, TXT, ZIP, RAR.') ?>","<div class=""attach-help""><i class=""bi bi-paperclip me-1""></i>Optional. Max 10MB. Allowed: PDF, image, Word, Excel, PowerPoint, TXT, ZIP, RAR.</div>"
add_announcement.php,209,Medium,"HTML text","Start Date",yes,"<?= __('Start Date') ?>","<label class=""form-label"">Start Date</label>"
add_announcement.php,214,Medium,"HTML text","End Date",yes,"<?= __('End Date') ?>","<label class=""form-label"">End Date</label>"
add_announcement.php,221,Medium,"HTML text","Save Announcement",yes,"<?= __('Save Announcement') ?>","<button type=""submit"" class=""btn btn-primary btn-lg px-4""><i class=""bi bi-save me-2""></i>Save Announcement</button>"
add_announcement.php,222,High,"HTML text",Cancel,yes,"<?= __('Cancel') ?>","<a href=""announcements.php"" class=""btn btn-light btn-lg px-4"">Cancel</a>"
add_article.php,82,Medium,"HTML text","Add Article",yes,"<?= __('Add Article') ?>","<div class=""head-left""><div class=""head-icon""><i class=""bi bi-journal-plus""></i></div><div><h2 class=""page-title"">Add Article</h2><div class=""muted"">Create organized knowledge article with type, tags and branch scope</div></div></div>"
add_article.php,82,Medium,"HTML text","Create organized knowledge article with type, tags and branch scope",yes,"<?= __('Create organized knowledge article with type, tags and branch scope') ?>","<div class=""head-left""><div class=""head-icon""><i class=""bi bi-journal-plus""></i></div><div><h2 class=""page-title"">Add Article</h2><div class=""muted"">Create organized knowledge article with type, tags and branch scope</div></div></div>"
add_article.php,83,High,"HTML text",Back,yes,"<?= __('Back') ?>","<a href=""knowledge_base.php"" class=""btn btn-outline-secondary""><i class=""bi bi-arrow-left""></i> Back</a>"
add_article.php,92,Medium,"HTML text","Article Content",yes,"<?= __('Article Content') ?>","<div class=""section-title"">Article Content</div>"
add_article.php,94,Medium,"HTML text",Title,yes,"<?= __('Title') ?>","<label class=""form-label"">Title <span class=""required"">*</span></label>"
add_article.php,100,Medium,"HTML text",Category,yes,"<?= __('Category') ?>","<label class=""form-label"">Category <span class=""required"">*</span></label>"
add_article.php,107,Medium,"HTML text","Knowledge Type",yes,"<?= __('Knowledge Type') ?>","<label class=""form-label"">Knowledge Type</label>"
add_article.php,115,Medium,"HTML text",Tags,yes,"<?= __('Tags') ?>","<label class=""form-label"">Tags</label>"
add_article.php,116,Low,placeholder,"POS, printer, barcode, sync",yes,"placeholder=""<?= __('POS, printer, barcode, sync') ?>""","<input type=""text"" name=""tags"" class=""form-control"" placeholder=""POS, printer, barcode, sync"">"
add_article.php,121,Medium,"HTML text",Content,yes,"<?= __('Content') ?>","<label class=""form-label"">Content <span class=""required"">*</span></label>"
add_article.php,122,Low,placeholder,"Purpose: Scope: Step-by-step Procedure: 1. 2. 3. Important Notes: -",no,"placeholder=""<?= __('Purpose: Scope: Step-by-step Procedure: 1. 2. 3. Important Notes: -') ?>""","<textarea name=""content"" id=""content"" class=""form-control content-box"" required placeholder=""Purpose:&#10;&#10;Scope:&#10;&#10;Step-by-step Procedure:&#10;1. &#10;2. &#10;3. &#10;&#10;Important Notes:&#10;- ""></textarea>"
add_article.php,127,Medium,"HTML text",Attachments,yes,"<?= __('Attachments') ?>","<label class=""form-label"">Attachments</label>"
add_article.php,129,Medium,"HTML text","PDF, image, Word, Excel, PowerPoint, TXT, CSV, ZIP. Max 10MB each.",no,"<?= __('PDF, image, Word, Excel, PowerPoint, TXT, CSV, ZIP. Max 10MB each.') ?>","<div class=""hint"">PDF, image, Word, Excel, PowerPoint, TXT, CSV, ZIP. Max 10MB each.</div>"
add_article.php,135,Medium,"HTML text","Quick Template",yes,"<?= __('Quick Template') ?>","<div class=""section-title"">Quick Template</div>"
add_article.php,136,Medium,"HTML text","SOP Template",yes,"<?= __('SOP Template') ?>","<button type=""button"" class=""quick-btn"" data-tpl=""sop"">SOP Template</button>"
add_article.php,137,Medium,"HTML text","FAQ Template",yes,"<?= __('FAQ Template') ?>","<button type=""button"" class=""quick-btn"" data-tpl=""faq"">FAQ Template</button>"
add_article.php,138,Medium,"HTML text","Troubleshooting Template",yes,"<?= __('Troubleshooting Template') ?>","<button type=""button"" class=""quick-btn"" data-tpl=""troubleshoot"">Troubleshooting Template</button>"
add_article.php,142,Medium,"HTML text","Branch Scope",yes,"<?= __('Branch Scope') ?>","<div class=""section-title"">Branch Scope</div>"
add_article.php,145,Medium,"HTML text","All Branch",yes,"<?= __('All Branch') ?>","<label class=""form-check-label fw-bold"" for=""scopeAll"">All Branch</label>"
add_article.php,159,Medium,"HTML text",Status,yes,"<?= __('Status') ?>","<div class=""section-title"">Status</div>"
add_article.php,161,Medium,"HTML text",Published,yes,"<?= __('Published') ?>","<option value=""Published"">Published</option>"
add_article.php,162,Medium,"HTML text",Draft,yes,"<?= __('Draft') ?>","<option value=""Draft"">Draft</option>"
add_article.php,164,Medium,"HTML text","Draft articles are for admin review.",yes,"<?= __('Draft articles are for admin review.') ?>","<div class=""hint mt-2"">Draft articles are for admin review.</div>"
add_article.php,170,High,"HTML text",Cancel,yes,"<?= __('Cancel') ?>","<a href=""knowledge_base.php"" class=""btn btn-outline-secondary"">Cancel</a>"
add_asset.php,64,High,"PHP die/exit","Photo upload failed.",no,"die(__('Photo upload failed.'));","die(""Photo upload failed."");"
add_asset.php,68,High,"PHP die/exit","Photo is too large. Maximum 5MB allowed.",no,"die(__('Photo is too large. Maximum 5MB allowed.'));","die(""Photo is too large. Maximum 5MB allowed."");"
add_asset.php,82,High,"PHP die/exit","Invalid photo type. Only JPG, PNG, GIF and WEBP are allowed.",no,"die(__('Invalid photo type. Only JPG, PNG, GIF and WEBP are allowed.'));","die(""Invalid photo type. Only JPG, PNG, GIF and WEBP are allowed."");"
add_asset.php,89,High,"PHP die/exit","Invalid photo file.",no,"die(__('Invalid photo file.'));","die(""Invalid photo file."");"
add_asset.php,96,High,"PHP die/exit","Unable to save uploaded photo.",no,"die(__('Unable to save uploaded photo.'));","die(""Unable to save uploaded photo."");"
add_asset.php,128,High,"PHP die/exit","Asset Code and Asset Name are required.",no,"die(__('Asset Code and Asset Name are required.'));","die(""Asset Code and Asset Name are required."");"
add_asset.php,133,High,"PHP die/exit","Invalid status.",no,"die(__('Invalid status.'));","die(""Invalid status."");"
add_asset.php,155,High,"PHP die/exit","Unable to save asset. Asset code may already exist.",no,"die(__('Unable to save asset. Asset code may already exist.'));","die(""Unable to save asset. Asset code may already exist."");"
add_asset.php,168,Medium,"HTML text","Add Asset",yes,"<?= __('Add Asset') ?>","<h2 class=""mb-1"">Add Asset</h2>"
add_asset.php,183,Medium,"HTML text","Asset Code",yes,"<?= __('Asset Code') ?>","<label class=""form-label fw-semibold"">Asset Code <span class=""text-danger"">*</span></label>"
add_asset.php,188,Medium,"HTML text","Asset Name",yes,"<?= __('Asset Name') ?>","<label class=""form-label fw-semibold"">Asset Name <span class=""text-danger"">*</span></label>"
add_asset.php,189,Medium,placeholder,"POS Counter 1",no,"placeholder=""<?= __('POS Counter 1') ?>""","<input type=""text"" name=""asset_name"" class=""form-control"" placeholder=""POS Counter 1"" required>"
add_asset.php,223,Medium,"HTML text",Branch,yes,"<?= __('Branch') ?>","<label class=""form-label fw-semibold"">Branch</label>"
add_asset.php,225,Medium,"HTML text","-- Select Branch --",no,"<?= __('-- Select Branch --') ?>","<option value="""">-- Select Branch --</option>"
add_asset.php,233,Medium,"HTML text",Location,yes,"<?= __('Location') ?>","<label class=""form-label fw-semibold"">Location</label>"
add_asset.php,234,Low,placeholder,"Counter 1 / Office / Server Rack",yes,"placeholder=""<?= __('Counter 1 / Office / Server Rack') ?>""","<input type=""text"" name=""location"" class=""form-control"" placeholder=""Counter 1 / Office / Server Rack"">"
add_asset.php,240,Medium,"HTML text",Status,yes,"<?= __('Status') ?>","<label class=""form-label fw-semibold"">Status</label>"
add_asset.php,250,Medium,"HTML text","Purchase Date",yes,"<?= __('Purchase Date') ?>","<label class=""form-label fw-semibold"">Purchase Date</label>"
add_asset.php,268,Medium,"alt attribute","Photo Preview",yes,"alt=""<?= __('Photo Preview') ?>""","<img id=""photoPreview"" src="""" style=""display:none; max-width:100%; max-height:260px; object-fit:cover; border-radius:12px; border:1px solid #dee2e6;"" alt=""Photo Preview"">"
add_asset.php,280,High,"HTML text",Cancel,yes,"<?= __('Cancel') ?>","<a href=""asset_list.php"" class=""btn btn-outline-secondary"">Cancel</a>"
add_user.php,96,Medium,"HTML text","Add User",yes,"<?= __('Add User') ?>","<div class=""user-page-header""><div class=""user-page-title""><h2>Add User</h2><div class=""text-muted"">Create Admin / Head / Staff user with checkbox ticket visibility.</div></div><a href=""users.php"" class=""btn btn-outline-secondary""><i class=""bi bi-arrow-left""></i> Back</a></div>"
add_user.php,96,High,"HTML text",Back,yes,"<?= __('Back') ?>","<div class=""user-page-header""><div class=""user-page-title""><h2>Add User</h2><div class=""text-muted"">Create Admin / Head / Staff user with checkbox ticket visibility.</div></div><a href=""users.php"" class=""btn btn-outline-secondary""><i class=""bi bi-arrow-left""></i> Back</a></div>"
add_user.php,96,Medium,"HTML text","Create Admin / Head / Staff user with checkbox ticket visibility.",yes,"<?= __('Create Admin / Head / Staff user with checkbox ticket visibility.') ?>","<div class=""user-page-header""><div class=""user-page-title""><h2>Add User</h2><div class=""text-muted"">Create Admin / Head / Staff user with checkbox ticket visibility.</div></div><a href=""users.php"" class=""btn btn-outline-secondary""><i class=""bi bi-arrow-left""></i> Back</a></div>"
